"","unique_id","report.","date","year","month","overall_type","category","type","type_desc","offense","i.ward","a.ward","a.city","a.county","a.state","a.race","a.gender","a.age","age_range","initiated"
"537",537,180018180,2018-04-14,"2018","04","Crime","Part I - Violent","JVA","Juvenile arrest","Rape","Ward 6","Ward 5","Takoma Park","Takoma Park (MC)","MD","Black","Man",13,"10-17","Public"
"538",538,180017165,2018-04-13,"2018","04","Crime","Part II - Property","APP","Application for charges","Vandalism","Ward 3","OOC","Washington","DC","DC","Black","Woman",27,"18-29","Public"
"539",539,170538370,2018-04-04,"2018","04","Crime","Part I - Violent","APP","Application for charges","Robbery","Ward 3","OOC","Hyattsville","Prince George's","MD","Black","Man",60,"60-69","Public"
"540",540,180015944,2018-04-03,"2018","04","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 5","OOC","Washington","DC","DC","Black","Man",35,"30-39","Public"
"541",541,180016094,2018-04-03,"2018","04","Crime","Part I - Property","CA","Arrest","Larceny","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",38,"30-39","Public"
"542",542,170538354,2018-03-30,"2018","03","Crime","Part I - Property","JVA","Juvenile arrest","Burglary","Ward 5","UNK","UNK","UNK","UNK","Black","Man",16,"10-17","Public"
"543",543,180005975,2018-03-27,"2018","03","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","OOC","Greenbelt","Prince George's","MD","Black","Man",27,"18-29","Detail"
"544",544,180011651,2018-03-27,"2018","03","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","OOC","Beltsville","Prince George's","MD","Black","Man",23,"18-29","Self"
"545",545,180015004,2018-03-27,"2018","03","Crime","Part II - Vice","CRC","Criminal citation","CDS: Paraphernalia","Ward 6","Ward 6","Takoma Park","Takoma Park (MC)","MD","Black","Man",24,"18-29","Public"
"546",546,180013594,2018-03-26,"2018","03","Crime","Part II - Nuisance","CA","Arrest","Disorderly Conduct","Ward 6","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",21,"18-29","Officer"
